Name,VeryLow,Low,Med,High,Bound
DP01WINA,0,0,0,0,Yes
DP01WINA_BREAK01,0,0,0,0,Yes
DP01WINA_BREAK02,0,0,0,0,Yes
DP01WINA_BREAK03,0,0,0,0,Yes
DP01WINA_BREAK04,0,0,0,0,Yes
DP01WINA_BREAK05,0,0,0,0,Yes
DP01WINA_BREAK06,0,0,0,0,Yes
DP01WINA_BREAK07,0,0,0,0,Yes
DP01WINA_BREAK08,0,0,0,0,Yes
DP01WINA_BREAK09,0,0,0,0,Yes
DP01WINA_BREAK10,0,0,0,0,Yes
DP01WINA_BREAK11,0,0,0,0,Yes
DP01WINA_BREAK12,0,0,0,0,Yes
DP01WINA_BREAK13,0,0,0,0,Yes
DP01WINA_BREAK14,0,0,0,0,Yes
DP01WINB,0,0,0,0,Yes
DP01WINB_BREAK01,0,0,0,0,Yes
DP01WINB_BREAK02,0,0,0,0,Yes
DP01WINB_BREAK03,0,0,0,0,Yes
DP01WINB_BREAK04,0,0,0,0,Yes
DP01WINB_BREAK05,0,0,0,0,Yes
DP01WINB_BREAK06,0,0,0,0,Yes
DP01WINB_BREAK07,0,0,0,0,Yes
DP01WINB_BREAK08,0,0,0,0,Yes
DP01WINB_BREAK09,0,0,0,0,Yes
DP01WINB_BREAK10,0,0,0,0,Yes
DP01WINB_BREAK11,0,0,0,0,Yes
DP01WINB_BREAK12,0,0,0,0,Yes
DP01WINB_BREAK13,0,0,0,0,Yes
DP01WINB_BREAK14,0,0,0,0,Yes
DP01WINC,0,0,0,0,Yes
DP01WINC_BREAK01,0,0,0,0,Yes
DP01WINC_BREAK02,0,0,0,0,Yes
DP01WINC_BREAK03,0,0,0,0,Yes
DP01WINC_BREAK04,0,0,0,0,Yes
DP01WINC_BREAK05,0,0,0,0,Yes
DP01WINC_BREAK06,0,0,0,0,Yes
DP01WINC_BREAK07,0,0,0,0,Yes
DP01WINC_BREAK08,0,0,0,0,Yes
DP01WINC_BREAK09,0,0,0,0,Yes
DP01WINC_BREAK10,0,0,0,0,Yes
DP01WINC_BREAK11,0,0,0,0,Yes
DP01WINC_BREAK12,0,0,0,0,Yes
DP01WINC_BREAK13,0,0,0,0,Yes
DP01WINC_BREAK14,0,0,0,0,Yes
DP01WINC_BREAK15,0,0,0,0,Yes
DP01WIND,0,0,0,0,Yes
DP01WIND_BREAK01,0,0,0,0,Yes
DP01WIND_BREAK02,0,0,0,0,Yes
DP01WIND_BREAK03,0,0,0,0,Yes
DP01WIND_BREAK04,0,0,0,0,Yes
DP01WIND_BREAK05,0,0,0,0,Yes
DP01WIND_BREAK06,0,0,0,0,Yes
DP01WIND_BREAK07,0,0,0,0,Yes
DP01WIND_BREAK08,0,0,0,0,Yes
DP01WIND_BREAK09,0,0,0,0,Yes
DP01WIND_BREAK10,0,0,0,0,Yes
DP01WIND_BREAK11,0,0,0,0,Yes
DP01WIND_BREAK12,0,0,0,0,Yes
DP01WIND_BREAK13,0,0,0,0,Yes
DP01WIND_BREAK14,0,0,0,0,Yes
DP01WIND_BREAK15,0,0,0,0,Yes
DP01WINE,0,0,0,0,Yes
DP01WINE_BREAK01,0,0,0,0,Yes
